name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	DropConditionCalc	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	UICatOverride	diablocloneweight	AdvancedStashStackable
War Scepter	scep		wsp	whm	wsp	0		4	1		0	xxx			10	17							1	-10	100		55		70		21	0	0	2323	10297			wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20	2	2	0	xxx	xxx	1	0			
Spiked Club	club		spc	clb	spc	0		3	1		0	xxx			5	8							1		100				36		4	0	0	225	900			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	mac	mst	1	0			
Mace	mace		mac	mac	mac	0		4	1		0	xxx			3	10									100		27		60		8	0	0	463	1701			mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	2	0	mst	mau	1	0			
Morning Star	mace		mst	mac	mst	0		4	1		0	xxx			7	16							1	10	100		36		72		13	0	0	844	3329			mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	fla	1	0			
Flail	mace		fla	fla	fla	0		4	1		0	xxx			1	24							2	-10	100		41	35	30		19	0	0	1412	6472			fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	xxx	gma	1	0			
War Hammer	hamm		whm	whm	whm	0		4	1		0	xxx			19	29								20	110		53		55		25	0	0	2081	11171			whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	mau	gma	1	0			
Maul	hamm		mau	mau	mau	0		4	1		0	xxx						1	30	43			1	10	110		69		60		21	0	0	1670	8012			mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	xxx	mau	1	0			
Great Maul	hamm		gma	mau	gma	0		3	1		0	xxx						1	38	58			2	20	110		99		60		32	0	0	3215	20230			gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0			
Short Sword	swor	swo1	ssd	ssd	ssd	0		3	1		0	xxx			2	7									100				24		1	0	0	72	512			ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	scm	wsd	1	0			
Scimitar	swor	swo1	scm	scm	scm	0		3	1		0	xxx			2	6								-20	100			21	22		5	0	0	274	1062			scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	sbr	lsd	1	0			
Saber	swor	swo1	sbr	scm	sbr	0		3	1		0	xxx			3	8								-10	100		25	25	32		8	0	0	466	1705			sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	1	2	0	flc	bsd	1	0			
Falchion	swor	swo1	flc	flc	flc	0		4	1		0	xxx			9	17								20	100		33		32		11	0	0	683	2586			flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	bsd	wsd	1	0			
Crystal Sword	swor	swo1	crs	crs	crs	0		2	1		0	xxx			5	15							1		100		43		20		11	0	0	2127	5233			crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255	1	8	0	xxx	xxx	1	0			
Broad Sword	swor	swo1	bsd	bsd	bsd	0		4	1		0	xxx			7	14									100		48		32		15	0	0	1029	4239			bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	lsd	wsd	1	0			
Long Sword 	swor	swo1	lsd	lsd	lsd	0		4	1		0	xxx			3	19							1	-10	100		55	39	44		20	0	0	1520	7150			lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	0	wsd	wsd	1	0			
War Sword	swor	swo1	wsd	flc	wsd	0		4	1		0	xxx			8	20							1		100		71	45	44		27	0	0	1997	11653			wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	0	xxx	xxx	1	0			
Two-Handed Sword	swor	swo2	2hs	clm	2hs	0		4	1		0	xxx			2	9	1	1	8	17			2		100		35	27	44		10	0	0	644	2324			2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	clm	gis	1	0			
Claymore	swor	swo2	clm	clm	clm	0		4	1		0	xxx			5	12	1	1	13	30			2	10	100		47		50		17	0	0	1262	5409			clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	gis	bsw	1	0			
Giant Sword	swor	swo2	gis	gsd	gis	0		4	1		0	xxx			3	16	1	1	9	28			2		100		56	34	50		21	0	0	1459	7273			gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	0	bsw	flb	1	0			
Bastard Sword	swor	swo2	bsw	clm	bsw	0		4	1		0	xxx			7	19	1	1	20	28			1	10	100		62		40		24	0	0	1971	10301			bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	0	xxx	xxx	1	0			
Flamberge	swor	swo2	flb	clm	flb	0		4	1		0	xxx			9	15	1	1	13	26			2	-10	100		70	49	50		27	0	0	2400	13467			flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0			
Great Sword	swor	swo2	gsd	gsd	gsd	0		4	1		0	xxx			12	20	1	1	25	42			2	10	100		100	60	50		33	0	0	3451	22147			gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0			
Dagger	knif		dgr	dgr	dgr	0		2	1		0	xxx			1	4								-20	75	75			16		3	0	0	60	697			dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255	3	5	3	5	1					255					255	3	5	3	5	1					255					255					255					255					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0			
Dirk	knif		dir	dir	dir	0		2	1		0	xxx			3	9									75	75		25	20		9	0	0	532	1965			dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255	2	3	1	2	1					255					255	4	5	4	5	1					255					255					255					255					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0			
Kriss	knif		kri	dir	kri	0		2	1		0	xxx			2	11								-20	75	75		45	24		17	0	0	1227	5310			kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	3	5	3	5	1					255					255					255					255			3	5	20					255					255			3	5	20	1	2	0	xxx	xxx	1	0			
Blade	knif		bld	dgr	bld	0		3	1		0	xxx			4	15								-10	75	75	35	51	24		23	0	0	1764	9096			bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	3	3	3	3	1					255					255					255					255	5	5	5	5	20					255					255	5	5	5	5	20	1	2	0	xxx	xxx	1	0			
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1		0	xxx			2	3					4	9			75	75		21	4		2	0	0	6	586			tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	500	120	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	1	2	0	bkf	bkf	1	0			
Throwing Axe	taxe		tax	hax	tax	0		2	1		0	xxx			4	7					8	12		10	75	75		40	6		7	0	0	11	1013			tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	500	48	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	2	2	0	bal	bal	1	0			
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1		0	xxx			1	8					6	11		-20	75	75		51	8		13	0	0	15	1533			bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	500	90	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20	1	2	0	xxx	xxx	1	0			
Balanced Axe	taxe		bal	hax	bal	0		2	1		0	xxx			5	10					12	15		-10	75	75		57	10		16	0	0	35	1844			bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	500	36	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20	2	2	0	xxx	xxx	1	0			
Javelin	jave		jav	jav	jav	0		4	1		0	xxx			1	5					6	14	2	-10	75	75			2		1	0	0	5	501			jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	500	90	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	glv	glv	1	0			
Pilum	jave		pil	pil	pil	0		4	1		0	xxx			4	9					7	20	2		75	75		45	3		10	0	0	18	1280			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	500	75	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0			
Short Spear	jave		ssp	jav	ssp	0		4	1		0	xxx			2	13					10	22	2	10	75	75	40	40	4		15	0	0	24	1727			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	500	60	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0			
Glaive	jave		glv	glv	glv	0		4	1		0	xxx			5	17					16	22	2	20	75	75	52	35	5		23	0	0	36	2472			glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	500	60	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	1	2	0	xxx	xxx	1	0			
