Name	*Rune Name	complete	disallowCraftingInLadder	disallowCraftingInNonLadder	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword125	Shadow of Doubt																																																			0
Runeword126	Silence	1					109	weap	thro	dols							DolEldHelIstTirVex	r14	r02	r15	r24	r03	r26	manasteal		4	4	stupidity		33	33	dmg%		200	200	swing2		20	20	res-all		75	75	allskills		2	2	balance2		20	20	0
Runeword127	Siren's Song																																																			0
Runeword128	Smoke	1					109	tors	belt	mcha	gcha						NefLum	r04	r17					ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	72	18	6					0
Runeword129	Sorrow																																																			0
Runeword130	Spirit	1					Previously Ladder Only	swor	shld	boot							TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		89	112	ac-miss		250	250	vit		22	22	cast3		25	35	abs-mag		3	8	allskills		2	2	0
Runeword131	Splendor	1					110	shld	boot	bowq	xboq	belt	gcha				EthLum	r05	r17					light		3	3	gold%		50	50	mag%		20	20	ac%		60	100	block2		20	20	cast2		10	10	allskills		0	1	0
Runeword132	Starlight																																																			0
Runeword133	Stealth	1					109	tors	belt	mcha							TalEth	r07	r05					red-mag		3	3	dex		6	6	stam		15	15	move2		25	25	cast2		25	25	balance2		25	25					0
Runeword134	Steel	1					109	weap	glov	belt	mcha						TirEl	r03	r01					swing2		25	25	dmg-min		3	3	dmg-max		3	3	openwounds		50	50	dmg%		20	20									0
Runeword135	Still Water																																																			0
Runeword136	Sting																																																			0
Runeword137	Stone	1					110	tors	gcha								ShaelUmPulLum	r13	r22	r21	r17			ac%		220	260	charged	Clay Golem	16	16	ac-miss		300	300	charged	Molten Boulder	80	16	str		16	16	vit		16	16	balance2		40	40	0
Runeword138	Storm																																																			0
Runeword139	Strength	1					109	mele	glov	thro	ajav	belt	blun				AmnTir	r11	r03					str		20	20	dmg%		35	35	vit		10	10	crush		25	25													0
Runeword140	Tempest																																																			0
Runeword141	Temptation																																																			0
Runeword142	Terror																																																			0
Runeword143	Thirst																																																			0
Runeword144	Thought																																																			0
Runeword145	Thunder																																																			0
Runeword146	Time																																																			0
Runeword147	Tradition																																																			0
Runeword148	Treachery	1					111	tors	lcha								ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust																																																			0
Runeword150	Truth																																																			0
Runeword151	Unbending Will	1			1	2	D2R Ladder 1	swor	thro	dols							FalIoIthEldElHel	r19	r16	r06	r02	r01	r15	skilltab	12	3	3	hit-skill	Taunt	18	18	swing2		20	30	dmg%		300	350	red-dmg		8	8	noheal		1	1	lifesteal		8	10	0
Runeword152	Valor																																																			0
Runeword153	Vengeance																																																			0
Runeword154	Venom	1					109	weap	glov	thro	ajav						TalDolMal	r07	r14	r23				dmg-pois	175	312	312	ignore-ac		1	1	charged	83	27	15	charged	92	11	13	manasteal		7	7									0
Runeword155	Victory																																																			0
Runeword156	Voice																																																			0
Runeword157	Void	1						knif									ThulZodIst	r10	r33	r24				allskills		2	2	cast2		40	40	extra-mag		10	15	oskill	Abyss	1	3	all-stats		8	12	charged	Decrepify	35	4					0
Runeword158	War																																																			0
Runeword159	Water																																																			0
Runeword160	Wealth	1					109	tors									LmKoTir	r20	r18	r03				gold%		250	250	mag%		100	100																					0
Runeword161	Whisper																																																			0
Runeword162	White	1					109	wand	glov								DolIo	r14	r16					skilltab	7	3	3	red-mag		4	4	cast2		20	20	mana		13	13	skill	68	3	3	skill	84	2	2	skill	69	4	4	0
Runeword163	Wind	1					110	mele	glov	thro	ajav	belt	misl				SurEl	r29	r01					dmg%		120	160	swing2		40	40	move2		20	20	reduce-ac		50	50	hit-skill	Tornado	10	9	charged	240	127	13	balance2		15	15	0
Runeword164	Wings of Hope																																																			0
Runeword165	Wisdom	1			1	2	D2R Ladder 1	helm	lcha								PulIthEld	r21	r06	r02				pierce		33	33	manasteal		4	8	att%		15	25	mana-kill		5	5	nofreeze		1	1	enr		10	10					0
Runeword166	Woe																																																			0
Runeword167	Wonder																																																			0
Runeword168	Wrath	1					Previously Ladder Only	miss	glov	thro	gcha						PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	hit-skill	Life Tap	5	10	hit-skill	Decrepify	30	1	nofreeze		1	1	0
Runeword169	Youth																																																			0
Runeword170	Zephyr	1					109	miss	glov	thro	ajav	boot	misl				OrtEth	r09	r05					move2		25	25	swing2		25	25	dmg%		33	33	att		66	66	gethit-skill	240	7	1	ac		25	25					0
Runeword171	Hustle (armor)	1			3		D2R Ladder 3	tors	boot	lcha	misl						ShaelKoEld	r13	r18	r02				move2		65	65	stamdrain		35	35	swing2		40	40	res-all		10	10	oskill	Evade	6	6									0
Runeword172	Hustle (weapon)	1			3		D2R Ladder 3	weap	glov								ShaelKoEld	r13	r18	r02				hit-skill	Quickness	5	1	swing2		10	10	dmg%		180	200	aura	Fanaticism	1	1													0
Runeword173	Mosaic	1	1		3	12	D2R Ladder 3	h2h									MalGulAmn	r23	r25	r11				skilltab	20	2	2	charge-noconsume		50	50	swing2		20	20	dmg%		200	250	extra-fire		8	15	extra-cold		8	15	extra-ltng		8	15	0
Runeword174	Metamorphosis	1			3		D2R Ladder 3	helm	boot								IoChamFal	r16	r32	r19				hit-skill	Mark of the Bear	100	1	hit-skill	Mark of the Wolf	100	1	skilltab	16	5	5	ac%		50	80	res-all		10	10	crush		25	25	charge-noconsume		25	25	0
Runeword175	Ground	1			3		D2R Ladder 3	helm	glov	boot	lcha						ShaelIoOrt	r13	r16	r09				hp%		5	5	ac%		75	100	res-ltng		10	30	abs-ltng%		10	15													0
Runeword176	Temper	1			3		D2R Ladder 3	helm	glov	boot	lcha						ShaelIoRal	r13	r16	r08				hp%		5	5	ac%		75	100	res-fire		10	30	abs-fire%		10	15													0
Runeword177	Hearth	1			3		D2R Ladder 3	helm	glov	boot	lcha						ShaelIoThul	r13	r16	r10				hp%		5	5	ac%		75	100	res-cold		10	30	abs-cold%		10	15	nofreeze		1	1									0
Runeword178	Cure	1			3		D2R Ladder 3	helm	glov	boot							ShaelIoTal	r13	r16	r07				hp%		5	5	ac%		75	100	res-pois		10	30	res-pois-len		50	50	aura	Cleansing	1	1									0
Runeword179	Bulwark	1			3		D2R Ladder 3	helm	glov	boot	lcha						ShaelIoSol	r13	r16	r12				hp%		5	5	ac%		75	100	red-dmg%		10	15	regen		30	30	lifesteal		4	6									0
Runeword180	Coven	1						helm	lcha								IstRalIo	r24	r08	r16				gethit-skill	Sigil Lethargy	5	10	allskills		1	1	cast1		20	20	ac%		30	50	mag%		1	15	heal-kill		1	5					0
Runeword181	Vigilance	1						grim	shld	head	ashd	mcha					DolGul	r14	r25					gethit-skill	Ring of Fire	5	10	move2		10	10	block2		30	30	hp		20	40	mana		20	40	res-all		25	35	ac%		75	100	0
Runeword182	Ritual	1						knif	lcha								AmnShaelOhm	r11	r13	r27				gethit-skill	Sigil Death	13	1	swing1		20	20	dmg%		200	270	dmg-demon		150	250	att%		200	260	heal-kill		3	5	rip		1	1	0
xGemwordViolet	Violet	1						weap	glov								2 of the same gem	gcv	gcv					att		50	50	dmg%		10	10																					0
xGemwordViolet	Violet	1						weap	glov								2 of the same gem	gfv	gfv					att		80	80	dmg%		13	13																					0
xGemwordViolet	Violet	1						weap	glov								2 of the same gem	gsv	gsv					att		120	120	dmg%		16	16																					0
xGemwordViolet	Violet	1						weap	glov								2 of the same gem	gzv	gzv					att		160	160	dmg%		20	20																					0
xGemwordViolet	Violet	1						weap	glov								2 of the same gem	gpv	gpv					att		225	225	dmg%		25	25																					0
xGemwordViolet	Violet	1						tors	helm	boot							2 of the same gem	gcv	gcv					ac%		10	10	ac		8	8	move2		5	5																	0
xGemwordViolet	Violet	1						tors	helm	boot							2 of the same gem	gfv	gfv					ac%		13	13	ac		18	18	move2		10	10																	0
xGemwordViolet	Violet	1						tors	helm	boot							2 of the same gem	gsv	gsv					ac%		16	16	ac		24	24	move2		15	15																	0
xGemwordViolet	Violet	1						tors	helm	boot							2 of the same gem	gzv	gzv					ac%		20	20	ac		30	30	move2		20	20																	0
xGemwordViolet	Violet	1						tors	helm	boot							2 of the same gem	gpv	gpv					ac%		25	25	ac		45	45	move2		25	25																	0
xGemwordViolet	Violet	1						shld	belt								2 of the same gem	gcv	gcv					block2		5	5	ac%		10	10																					0
xGemwordViolet	Violet	1						shld	belt								2 of the same gem	gfv	gfv					block2		8	8	ac%		13	13																					0
xGemwordViolet	Violet	1						shld	belt								2 of the same gem	gsv	gsv					block2		12	12	ac%		16	16																					0
xGemwordViolet	Violet	1						shld	belt								2 of the same gem	gzv	gzv					block2		15	15	ac%		20	20																					0
xGemwordViolet	Violet	1						shld	belt								2 of the same gem	gpv	gpv					block2		17	17	ac%		25	25																					0
