description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
R01	1				100	18	70	50		1	a01							"useitem,qty=48"																													r01	255																												r01	255																												0
R02	1				100	18	70	1		1	a02							r02																																																																																							0
R02	1				100	18	70	2		1	a02							r02																													r02	255																																																									0
R02	1				100	18	70	3		1	a02							"useitem,qty=1"																													r02	255																												r02	255																												0
R02	1				100	18	70	4		1	a02							"useitem,qty=2"																													r02	255																												r02	255																												0
R02	1				100	18	70	5		1	a02							"useitem,qty=3"																													r02	255																												r02	255																												0
R02	1				100	18	70	6		1	a02							"useitem,qty=4"																													r02	255																												r02	255																												0
R02	1				100	18	70	7		1	a02							"useitem,qty=5"																													r02	255																												r02	255																												0
R02	1				100	18	70	8		1	a02							"useitem,qty=6"																													r02	255																												r02	255																												0
R02	1				100	18	70	9		1	a02							"useitem,qty=7"																													r02	255																												r02	255																												0
R02	1				100	18	70	10		1	a02							"useitem,qty=8"																													r02	255																												r02	255																												0
R02	1				100	18	70	11		1	a02							"useitem,qty=9"																													r02	255																												r02	255																												0
R02	1				100	18	70	12		1	a02							"useitem,qty=10"																													r02	255																												r02	255																												0
R02	1				100	18	70	13		1	a02							"useitem,qty=11"																													r02	255																												r02	255																												0
R02	1				100	18	70	14		1	a02							"useitem,qty=12"																													r02	255																												r02	255																												0
R02	1				100	18	70	15		1	a02							"useitem,qty=13"																													r02	255																												r02	255																												0
R02	1				100	18	70	16		1	a02							"useitem,qty=14"																													r02	255																												r02	255																												0
R02	1				100	18	70	17		1	a02							"useitem,qty=15"																													r02	255																												r02	255																												0
R02	1				100	18	70	18		1	a02							"useitem,qty=16"																													r02	255																												r02	255																												0
R02	1				100	18	70	19		1	a02							"useitem,qty=17"																													r02	255																												r02	255																												0
R02	1				100	18	70	20		1	a02							"useitem,qty=18"																													r02	255																												r02	255																												0
R02	1				100	18	70	21		1	a02							"useitem,qty=19"																													r02	255																												r02	255																												0
R02	1				100	18	70	22		1	a02							"useitem,qty=20"																													r02	255																												r02	255																												0
R02	1				100	18	70	23		1	a02							"useitem,qty=21"																													r02	255																												r02	255																												0
R02	1				100	18	70	24		1	a02							"useitem,qty=22"																													r02	255																												r02	255																												0
R02	1				100	18	70	25		1	a02							"useitem,qty=23"																													r02	255																												r02	255																												0
R02	1				100	18	70	26		1	a02							"useitem,qty=24"																													r02	255																												r02	255																												0
R02	1				100	18	70	27		1	a02							"useitem,qty=25"																													r02	255																												r02	255																												0
R02	1				100	18	70	28		1	a02							"useitem,qty=26"																													r02	255																												r02	255																												0
R02	1				100	18	70	29		1	a02							"useitem,qty=27"																													r02	255																												r02	255																												0
R02	1				100	18	70	30		1	a02							"useitem,qty=28"																													r02	255																												r02	255																												0
R02	1				100	18	70	31		1	a02							"useitem,qty=29"																													r02	255																												r02	255																												0
R02	1				100	18	70	32		1	a02							"useitem,qty=30"																													r02	255																												r02	255																												0
R02	1				100	18	70	33		1	a02							"useitem,qty=31"																													r02	255																												r02	255																												0
R02	1				100	18	70	34		1	a02							"useitem,qty=32"																													r02	255																												r02	255																												0
R02	1				100	18	70	35		1	a02							"useitem,qty=33"																													r02	255																												r02	255																												0
R02	1				100	18	70	36		1	a02							"useitem,qty=34"																													r02	255																												r02	255																												0
R02	1				100	18	70	37		1	a02							"useitem,qty=35"																													r02	255																												r02	255																												0
R02	1				100	18	70	38		1	a02							"useitem,qty=36"																													r02	255																												r02	255																												0
R02	1				100	18	70	39		1	a02							"useitem,qty=37"																													r02	255																												r02	255																												0
R02	1				100	18	70	40		1	a02							"useitem,qty=38"																													r02	255																												r02	255																												0
R02	1				100	18	70	41		1	a02							"useitem,qty=39"																													r02	255																												r02	255																												0
R02	1				100	18	70	42		1	a02							"useitem,qty=40"																													r02	255																												r02	255																												0
R02	1				100	18	70	43		1	a02							"useitem,qty=41"																													r02	255																												r02	255																												0
R02	1				100	18	70	44		1	a02							"useitem,qty=42"																													r02	255																												r02	255																												0
R02	1				100	18	70	45		1	a02							"useitem,qty=43"																													r02	255																												r02	255																												0
R02	1				100	18	70	46		1	a02							"useitem,qty=44"																													r02	255																												r02	255																												0
R02	1				100	18	70	47		1	a02							"useitem,qty=45"																													r02	255																												r02	255																												0
R02	1				100	18	70	48		1	a02							"useitem,qty=46"																													r02	255																												r02	255																												0
R02	1				100	18	70	49		1	a02							"useitem,qty=47"																													r02	255																												r02	255																												0
R02	1				100	18	70	50		1	a02							"useitem,qty=48"																													r02	255																												r02	255																												0
R03	1				100	18	70	1		1	a03							r03																																																																																							0
R03	1				100	18	70	2		1	a03							r03																													r03	255																																																									0
R03	1				100	18	70	3		1	a03							"useitem,qty=1"																													r03	255																												r03	255																												0
R03	1				100	18	70	4		1	a03							"useitem,qty=2"																													r03	255																												r03	255																												0
R03	1				100	18	70	5		1	a03							"useitem,qty=3"																													r03	255																												r03	255																												0
R03	1				100	18	70	6		1	a03							"useitem,qty=4"																													r03	255																												r03	255																												0
R03	1				100	18	70	7		1	a03							"useitem,qty=5"																													r03	255																												r03	255																												0
R03	1				100	18	70	8		1	a03							"useitem,qty=6"																													r03	255																												r03	255																												0
R03	1				100	18	70	9		1	a03							"useitem,qty=7"																													r03	255																												r03	255																												0
R03	1				100	18	70	10		1	a03							"useitem,qty=8"																													r03	255																												r03	255																												0
R03	1				100	18	70	11		1	a03							"useitem,qty=9"																													r03	255																												r03	255																												0
R03	1				100	18	70	12		1	a03							"useitem,qty=10"																													r03	255																												r03	255																												0
R03	1				100	18	70	13		1	a03							"useitem,qty=11"																													r03	255																												r03	255																												0
R03	1				100	18	70	14		1	a03							"useitem,qty=12"																													r03	255																												r03	255																												0
R03	1				100	18	70	15		1	a03							"useitem,qty=13"																													r03	255																												r03	255																												0
R03	1				100	18	70	16		1	a03							"useitem,qty=14"																													r03	255																												r03	255																												0
R03	1				100	18	70	17		1	a03							"useitem,qty=15"																													r03	255																												r03	255																												0
R03	1				100	18	70	18		1	a03							"useitem,qty=16"																													r03	255																												r03	255																												0
R03	1				100	18	70	19		1	a03							"useitem,qty=17"																													r03	255																												r03	255																												0
R03	1				100	18	70	20		1	a03							"useitem,qty=18"																													r03	255																												r03	255																												0
R03	1				100	18	70	21		1	a03							"useitem,qty=19"																													r03	255																												r03	255																												0
R03	1				100	18	70	22		1	a03							"useitem,qty=20"																													r03	255																												r03	255																												0
R03	1				100	18	70	23		1	a03							"useitem,qty=21"																													r03	255																												r03	255																												0
R03	1				100	18	70	24		1	a03							"useitem,qty=22"																													r03	255																												r03	255																												0
R03	1				100	18	70	25		1	a03							"useitem,qty=23"																													r03	255																												r03	255																												0
R03	1				100	18	70	26		1	a03							"useitem,qty=24"																													r03	255																												r03	255																												0
R03	1				100	18	70	27		1	a03							"useitem,qty=25"																													r03	255																												r03	255																												0
R03	1				100	18	70	28		1	a03							"useitem,qty=26"																													r03	255																												r03	255																												0
R03	1				100	18	70	29		1	a03							"useitem,qty=27"																													r03	255																												r03	255																												0
R03	1				100	18	70	30		1	a03							"useitem,qty=28"																													r03	255																												r03	255																												0
R03	1				100	18	70	31		1	a03							"useitem,qty=29"																													r03	255																												r03	255																												0
R03	1				100	18	70	32		1	a03							"useitem,qty=30"																													r03	255																												r03	255																												0
R03	1				100	18	70	33		1	a03							"useitem,qty=31"																													r03	255																												r03	255																												0
R03	1				100	18	70	34		1	a03							"useitem,qty=32"																													r03	255																												r03	255																												0
R03	1				100	18	70	35		1	a03							"useitem,qty=33"																													r03	255																												r03	255																												0
R03	1				100	18	70	36		1	a03							"useitem,qty=34"																													r03	255																												r03	255																												0
R03	1				100	18	70	37		1	a03							"useitem,qty=35"																													r03	255																												r03	255																												0
R03	1				100	18	70	38		1	a03							"useitem,qty=36"																													r03	255																												r03	255																												0
R03	1				100	18	70	39		1	a03							"useitem,qty=37"																													r03	255																												r03	255																												0
R03	1				100	18	70	40		1	a03							"useitem,qty=38"																													r03	255																												r03	255																												0
R03	1				100	18	70	41		1	a03							"useitem,qty=39"																													r03	255																												r03	255																												0
R03	1				100	18	70	42		1	a03							"useitem,qty=40"																													r03	255																												r03	255																												0
R03	1				100	18	70	43		1	a03							"useitem,qty=41"																													r03	255																												r03	255																												0
R03	1				100	18	70	44		1	a03							"useitem,qty=42"																													r03	255																												r03	255																												0
R03	1				100	18	70	45		1	a03							"useitem,qty=43"																													r03	255																												r03	255																												0
R03	1				100	18	70	46		1	a03							"useitem,qty=44"																													r03	255																												r03	255																												0
R03	1				100	18	70	47		1	a03							"useitem,qty=45"																													r03	255																												r03	255																												0
R03	1				100	18	70	48		1	a03							"useitem,qty=46"																													r03	255																												r03	255																												0
R03	1				100	18	70	49		1	a03							"useitem,qty=47"																													r03	255																												r03	255																												0
R03	1				100	18	70	50		1	a03							"useitem,qty=48"																													r03	255																												r03	255																												0
R04	1				100	18	70	1		1	a04							r04																																																																																							0
R04	1				100	18	70	2		1	a04							r04																													r04	255																																																									0
R04	1				100	18	70	3		1	a04							"useitem,qty=1"																													r04	255																												r04	255																												0
R04	1				100	18	70	4		1	a04							"useitem,qty=2"																													r04	255																												r04	255																												0
R04	1				100	18	70	5		1	a04							"useitem,qty=3"																													r04	255																												r04	255																												0
R04	1				100	18	70	6		1	a04							"useitem,qty=4"																													r04	255																												r04	255																												0
R04	1				100	18	70	7		1	a04							"useitem,qty=5"																													r04	255																												r04	255																												0
R04	1				100	18	70	8		1	a04							"useitem,qty=6"																													r04	255																												r04	255																												0
R04	1				100	18	70	9		1	a04							"useitem,qty=7"																													r04	255																												r04	255																												0
R04	1				100	18	70	10		1	a04							"useitem,qty=8"																													r04	255																												r04	255																												0
R04	1				100	18	70	11		1	a04							"useitem,qty=9"																													r04	255																												r04	255																												0
R04	1				100	18	70	12		1	a04							"useitem,qty=10"																													r04	255																												r04	255																												0
R04	1				100	18	70	13		1	a04							"useitem,qty=11"																													r04	255																												r04	255																												0
R04	1				100	18	70	14		1	a04							"useitem,qty=12"																													r04	255																												r04	255																												0
R04	1				100	18	70	15		1	a04							"useitem,qty=13"																													r04	255																												r04	255																												0
R04	1				100	18	70	16		1	a04							"useitem,qty=14"																													r04	255																												r04	255																												0
R04	1				100	18	70	17		1	a04							"useitem,qty=15"																													r04	255																												r04	255																												0
R04	1				100	18	70	18		1	a04							"useitem,qty=16"																													r04	255																												r04	255																												0
R04	1				100	18	70	19		1	a04							"useitem,qty=17"																													r04	255																												r04	255																												0
R04	1				100	18	70	20		1	a04							"useitem,qty=18"																													r04	255																												r04	255																												0
R04	1				100	18	70	21		1	a04							"useitem,qty=19"																													r04	255																												r04	255																												0
R04	1				100	18	70	22		1	a04							"useitem,qty=20"																													r04	255																												r04	255																												0
R04	1				100	18	70	23		1	a04							"useitem,qty=21"																													r04	255																												r04	255																												0
R04	1				100	18	70	24		1	a04							"useitem,qty=22"																													r04	255																												r04	255																												0
R04	1				100	18	70	25		1	a04							"useitem,qty=23"																													r04	255																												r04	255																												0
R04	1				100	18	70	26		1	a04							"useitem,qty=24"																													r04	255																												r04	255																												0
R04	1				100	18	70	27		1	a04							"useitem,qty=25"																													r04	255																												r04	255																												0
R04	1				100	18	70	28		1	a04							"useitem,qty=26"																													r04	255																												r04	255																												0
R04	1				100	18	70	29		1	a04							"useitem,qty=27"																													r04	255																												r04	255																												0
R04	1				100	18	70	30		1	a04							"useitem,qty=28"																													r04	255																												r04	255																												0
R04	1				100	18	70	31		1	a04							"useitem,qty=29"																													r04	255																												r04	255																												0
R04	1				100	18	70	32		1	a04							"useitem,qty=30"																													r04	255																												r04	255																												0
R04	1				100	18	70	33		1	a04							"useitem,qty=31"																													r04	255																												r04	255																												0
R04	1				100	18	70	34		1	a04							"useitem,qty=32"																													r04	255																												r04	255																												0
R04	1				100	18	70	35		1	a04							"useitem,qty=33"																													r04	255																												r04	255																												0
R04	1				100	18	70	36		1	a04							"useitem,qty=34"																													r04	255																												r04	255																												0
R04	1				100	18	70	37		1	a04							"useitem,qty=35"																													r04	255																												r04	255																												0
R04	1				100	18	70	38		1	a04							"useitem,qty=36"																													r04	255																												r04	255																												0
R04	1				100	18	70	39		1	a04							"useitem,qty=37"																													r04	255																												r04	255																												0
R04	1				100	18	70	40		1	a04							"useitem,qty=38"																													r04	255																												r04	255																												0
R04	1				100	18	70	41		1	a04							"useitem,qty=39"																													r04	255																												r04	255																												0
R04	1				100	18	70	42		1	a04							"useitem,qty=40"																													r04	255																												r04	255																												0
R04	1				100	18	70	43		1	a04							"useitem,qty=41"																													r04	255																												r04	255																												0
R04	1				100	18	70	44		1	a04							"useitem,qty=42"																													r04	255																												r04	255																												0
R04	1				100	18	70	45		1	a04							"useitem,qty=43"																													r04	255																												r04	255																												0
R04	1				100	18	70	46		1	a04							"useitem,qty=44"																													r04	255																												r04	255																												0
R04	1				100	18	70	47		1	a04							"useitem,qty=45"																													r04	255																												r04	255																												0
R04	1				100	18	70	48		1	a04							"useitem,qty=46"																													r04	255																												r04	255																												0
R04	1				100	18	70	49		1	a04							"useitem,qty=47"																													r04	255																												r04	255																												0
R04	1				100	18	70	50		1	a04							"useitem,qty=48"																													r04	255																												r04	255																												0
R05	1				100	18	70	1		1	a05							r05																																																																																							0
R05	1				100	18	70	2		1	a05							r05																													r05	255																																																									0
R05	1				100	18	70	3		1	a05							"useitem,qty=1"																													r05	255																												r05	255																												0
R05	1				100	18	70	4		1	a05							"useitem,qty=2"																													r05	255																												r05	255																												0
R05	1				100	18	70	5		1	a05							"useitem,qty=3"																													r05	255																												r05	255																												0
R05	1				100	18	70	6		1	a05							"useitem,qty=4"																													r05	255																												r05	255																												0
R05	1				100	18	70	7		1	a05							"useitem,qty=5"																													r05	255																												r05	255																												0
R05	1				100	18	70	8		1	a05							"useitem,qty=6"																													r05	255																												r05	255																												0
R05	1				100	18	70	9		1	a05							"useitem,qty=7"																													r05	255																												r05	255																												0
R05	1				100	18	70	10		1	a05							"useitem,qty=8"																													r05	255																												r05	255																												0
R05	1				100	18	70	11		1	a05							"useitem,qty=9"																													r05	255																												r05	255																												0
R05	1				100	18	70	12		1	a05							"useitem,qty=10"																													r05	255																												r05	255																												0
R05	1				100	18	70	13		1	a05							"useitem,qty=11"																													r05	255																												r05	255																												0
R05	1				100	18	70	14		1	a05							"useitem,qty=12"																													r05	255																												r05	255																												0
R05	1				100	18	70	15		1	a05							"useitem,qty=13"																													r05	255																												r05	255																												0
R05	1				100	18	70	16		1	a05							"useitem,qty=14"																													r05	255																												r05	255																												0
R05	1				100	18	70	17		1	a05							"useitem,qty=15"																													r05	255																												r05	255																												0
R05	1				100	18	70	18		1	a05							"useitem,qty=16"																													r05	255																												r05	255																												0
R05	1				100	18	70	19		1	a05							"useitem,qty=17"																													r05	255																												r05	255																												0
R05	1				100	18	70	20		1	a05							"useitem,qty=18"																													r05	255																												r05	255																												0
R05	1				100	18	70	21		1	a05							"useitem,qty=19"																													r05	255																												r05	255																												0
R05	1				100	18	70	22		1	a05							"useitem,qty=20"																													r05	255																												r05	255																												0
R05	1				100	18	70	23		1	a05							"useitem,qty=21"																													r05	255																												r05	255																												0
R05	1				100	18	70	24		1	a05							"useitem,qty=22"																													r05	255																												r05	255																												0
R05	1				100	18	70	25		1	a05							"useitem,qty=23"																													r05	255																												r05	255																												0
R05	1				100	18	70	26		1	a05							"useitem,qty=24"																													r05	255																												r05	255																												0
R05	1				100	18	70	27		1	a05							"useitem,qty=25"																													r05	255																												r05	255																												0
R05	1				100	18	70	28		1	a05							"useitem,qty=26"																													r05	255																												r05	255																												0
R05	1				100	18	70	29		1	a05							"useitem,qty=27"																													r05	255																												r05	255																												0
R05	1				100	18	70	30		1	a05							"useitem,qty=28"																													r05	255																												r05	255																												0
R05	1				100	18	70	31		1	a05							"useitem,qty=29"																													r05	255																												r05	255																												0
R05	1				100	18	70	32		1	a05							"useitem,qty=30"																													r05	255																												r05	255																												0
R05	1				100	18	70	33		1	a05							"useitem,qty=31"																													r05	255																												r05	255																												0
R05	1				100	18	70	34		1	a05							"useitem,qty=32"																													r05	255																												r05	255																												0
R05	1				100	18	70	35		1	a05							"useitem,qty=33"																													r05	255																												r05	255																												0
R05	1				100	18	70	36		1	a05							"useitem,qty=34"																													r05	255																												r05	255																												0
R05	1				100	18	70	37		1	a05							"useitem,qty=35"																													r05	255																												r05	255																												0
R05	1				100	18	70	38		1	a05							"useitem,qty=36"																													r05	255																												r05	255																												0
R05	1				100	18	70	39		1	a05							"useitem,qty=37"																													r05	255																												r05	255																												0
R05	1				100	18	70	40		1	a05							"useitem,qty=38"																													r05	255																												r05	255																												0
R05	1				100	18	70	41		1	a05							"useitem,qty=39"																													r05	255																												r05	255																												0
R05	1				100	18	70	42		1	a05							"useitem,qty=40"																													r05	255																												r05	255																												0
R05	1				100	18	70	43		1	a05							"useitem,qty=41"																													r05	255																												r05	255																												0
R05	1				100	18	70	44		1	a05							"useitem,qty=42"																													r05	255																												r05	255																												0
R05	1				100	18	70	45		1	a05							"useitem,qty=43"																													r05	255																												r05	255																												0
R05	1				100	18	70	46		1	a05							"useitem,qty=44"																													r05	255																												r05	255																												0
R05	1				100	18	70	47		1	a05							"useitem,qty=45"																													r05	255																												r05	255																												0
R05	1				100	18	70	48		1	a05							"useitem,qty=46"																													r05	255																												r05	255																												0
R05	1				100	18	70	49		1	a05							"useitem,qty=47"																													r05	255																												r05	255																												0
R05	1				100	18	70	50		1	a05							"useitem,qty=48"																													r05	255																												r05	255																												0
R06	1				100	18	70	1		1	a06							r06																																																																																							0
R06	1				100	18	70	2		1	a06							r06																													r06	255																																																									0
R06	1				100	18	70	3		1	a06							"useitem,qty=1"																													r06	255																												r06	255																												0
R06	1				100	18	70	4		1	a06							"useitem,qty=2"																													r06	255																												r06	255																												0
R06	1				100	18	70	5		1	a06							"useitem,qty=3"																													r06	255																												r06	255																												0
R06	1				100	18	70	6		1	a06							"useitem,qty=4"																													r06	255																												r06	255																												0
R06	1				100	18	70	7		1	a06							"useitem,qty=5"																													r06	255																												r06	255																												0
R06	1				100	18	70	8		1	a06							"useitem,qty=6"																													r06	255																												r06	255																												0
R06	1				100	18	70	9		1	a06							"useitem,qty=7"																													r06	255																												r06	255																												0
R06	1				100	18	70	10		1	a06							"useitem,qty=8"																													r06	255																												r06	255																												0
R06	1				100	18	70	11		1	a06							"useitem,qty=9"																													r06	255																												r06	255																												0
R06	1				100	18	70	12		1	a06							"useitem,qty=10"																													r06	255																												r06	255																												0
R06	1				100	18	70	13		1	a06							"useitem,qty=11"																													r06	255																												r06	255																												0
R06	1				100	18	70	14		1	a06							"useitem,qty=12"																													r06	255																												r06	255																												0
R06	1				100	18	70	15		1	a06							"useitem,qty=13"																													r06	255																												r06	255																												0
R06	1				100	18	70	16		1	a06							"useitem,qty=14"																													r06	255																												r06	255																												0
R06	1				100	18	70	17		1	a06							"useitem,qty=15"																													r06	255																												r06	255																												0
R06	1				100	18	70	18		1	a06							"useitem,qty=16"																													r06	255																												r06	255																												0
R06	1				100	18	70	19		1	a06							"useitem,qty=17"																													r06	255																												r06	255																												0
R06	1				100	18	70	20		1	a06							"useitem,qty=18"																													r06	255																												r06	255																												0
R06	1				100	18	70	21		1	a06							"useitem,qty=19"																													r06	255																												r06	255																												0
R06	1				100	18	70	22		1	a06							"useitem,qty=20"																													r06	255																												r06	255																												0
R06	1				100	18	70	23		1	a06							"useitem,qty=21"																													r06	255																												r06	255																												0
R06	1				100	18	70	24		1	a06							"useitem,qty=22"																													r06	255																												r06	255																												0
R06	1				100	18	70	25		1	a06							"useitem,qty=23"																													r06	255																												r06	255																												0
R06	1				100	18	70	26		1	a06							"useitem,qty=24"																													r06	255																												r06	255																												0
R06	1				100	18	70	27		1	a06							"useitem,qty=25"																													r06	255																												r06	255																												0
R06	1				100	18	70	28		1	a06							"useitem,qty=26"																													r06	255																												r06	255																												0
R06	1				100	18	70	29		1	a06							"useitem,qty=27"																													r06	255																												r06	255																												0
R06	1				100	18	70	30		1	a06							"useitem,qty=28"																													r06	255																												r06	255																												0
R06	1				100	18	70	31		1	a06							"useitem,qty=29"																													r06	255																												r06	255																												0
