Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Runes 3			1						a05	3	a06	2	Runes 2	3	randombox	1																						0
Runes 4			1						a07	3	a08	2	Runes 3	3	randombox	1																						0
Runes 5			1						a09	3	a10	2	Runes 4	4	randombox	1																						0
Runes 6			1						a11	3	a12	2	Runes 5	5	randombox	1																						0
Runes 7			1						a13	3	a14	2	Runes 6	6	randombox	1																						0
Runes 8			1						a15	3	a16	2	Runes 7	7	randombox	1																						0
Runes 9			1						a17	3	a18	2	Runes 8	8	randombox	1																						0
Runes 10			1						a19	3	a20	2	Runes 9	9	randombox	1																						0
Runes 11			1						a21	3	a22	2	Runes 10	12	randombox	1																						0
Runes 12			1						a23	3	a24	2	Runes 11	22	randombox	1																						0
Runes 13			1						a25	3	a26	2	Runes 12	45	randombox	1																						0
Runes 14			1						a27	3	a28	2	Runes 13	90	randombox	1																						0
Runes 15			1						a29	3	a30	2	Runes 14	180	randombox	1																						0
Runes 16			1						a31	3	a32	2	Runes 15	360	randombox	1																						0
Runes 17			1						a33	1	Runes 16	720	randombox	1																								0
Runes 18			1						a34	3	a35	2	Runes 17	960	randombox	1																						0
Runes 19			1						a36	3	a37	2	Runes 18	1230	randombox	1																						0
Runes 20			1						a38	3	a39	2	Runes 19	1500	randombox	1																						0
Runes 21			1						a40	3	a41	2	Runes 20	1770	randombox	1																						0
Runes 22			1						a42	3	a43	2	Runes 21	2040	randombox	1																						0
Runes 23			1						a44	3	a45	2	Runes 22	2310	randombox	1																						0
Runes 24			1						a46	3	a47	2	Runes 23	2580	randombox	1																						0
Runes 25			1						a48	3	a49	2	Runes 24	2850	randombox	1																						0
Runes 26			1						a50	1	Runes 25	3120																										0
Runes 27			1						a51	3	a52	2	Runes 26	3390	randombox	1																						0
Runes 28			1						a53	3	a54	2	Runes 27	3660	randombox	1																						0
Runes 29			1						a55	3	a56	2	Runes 28	3930	randombox	1																						0
Runes 30			1						a57	3	a58	2	Runes 29	4200	randombox	1																						0
Runes 31			1						a59	2	a60	1	Runes 30	4470	randombox	2																						0
balldoll 10			1						19d	2	usb	2	20d	1																								0
dolls1			1						da0	2	da1	2	da2	2	da3	2	da4	2	da5	2	da6	2	da7	2	da8	2	balldoll 10	2										0
dolls2			1						da9	2	db0	2	db1	2	db2	2	db3	2	db4	2	db5	2	db6	2	db7	2	balldoll 10	2										0
dolls3			1						db8	2	db9	2	dc0	2	dc1	2	dc2	2	dc3	2	dc4	2	dc5	2	dc6	2	balldoll 10	2										0
dolls4			1						dc7	2	dc8	2	dc9	2	dd0	2	dd1	2	dd2	2	dd3	2	dd4	2	dd5	2	balldoll 10	2										0
dolls5			1						dd6	2	dd7	2	dd8	2	dd9	2	de0	2	de1	2	de2	2	de3	2	de4	2	balldoll 10	2										0
dolls6			1						de5	2	de6	2	de7	2	de8	2	de9	2	dm9	2	dn0	2	dn1	2	dn2	2	balldoll 10	2										0
dolls7			1						dn3	2	dn4	2	dn5	2	dn6	2	dn7	2	dn8	2	dn9	2	do0	2	do1	2	balldoll 10	2										0
dolls8			1						do2	2	do3	2	dl5	1	do4	2	do5	2	do6	2	do7	2	do8	2	do9	2	balldoll 10	2										0
dolls9			1						dp0	2	dp1	2	dp2	2	dp3	2	dp4	2	dp7	2	dp8	2	dp9	2	dq0	2	balldoll 10	2										0
dolls10			1						dq1	2	dq2	2	dq3	2	dq4	2	dq5	2	dq6	2	dq7	2	dq8	2	dq9	2	balldoll 10	2										0
dolls11			1						ds0	2	ds1	2	ds2	2	ds3	2	ds4	2	ds5	2	ds6	2	ds7	2	ds8	2	balldoll 10	2										0
dolls12			1						ds9	2	dt0	2	ds1	2	dt2	2	dt3	2	dt4	2	dt5	2	dt6	2	dt7	2	balldoll 10	2										0
dolls13			1						dt8	2	du0	2	du1	2	du2	2	du3	2	du4	2	du5	2	du6	2	dv5	2	balldoll 10	2										0
dolls14			1						dv6	2	dv7	2	dv8	2	dv9	2	dw0	2	dw1	2	dw2	2	dw3	2														0
dolls15			1						dolls1	1	dolls2	1	dolls3	1	dolls4	1	dolls5	1	dolls6	1	dolls7	1	dolls8	1	dolls9	1	dolls10	1										0
dolls16			1						dolls11	1	dolls12	1	dolls13	1	dolls14	1	dolls15	30																				0
poke1			1						mtb	1	msb	1	spb	1	hpb	1																						0
card p01			1					19	p01	1																												0
card p02			1					19	p02	1																												0
card p03			1					19	p03	1																												0
card p04			1					19	p04	1																												0
card p05			1					19	p05	1																												0
card p06			1					19	p06	1																												0
card p07			1					19	p07	1																												0
card p08			1					19	p08	1																												0
card p09			1					19	p09	1																												0
card p10			1					19	p10	1																												0
card p11			1					19	p11	1																												0
card p12			1					19	p12	1																												0
card p13			1					19	p13	1																												0
card p14			1					19	p14	1																												0
card p15			1					19	p15	1																												0
card p16			1					19	p16	1																												0
card p17			1					19	p17	1																												0
card p18			1					19	p18	1																												0
card p19			1					19	p19	1																												0
card p20			1					19	p20	1																												0
card p21			1					19	p21	1																												0
card p22			1					19	p22	1																												0
card p23			1					19	p23	1																												0
card p24			1					19	p24	1																												0
card p25			1					19	p25	1																												0
card p26			1					19	p26	1																												0
card p27			1					19	p27	1																												0
card p28			1					19	p28	1																												0
card p29			1					19	p29	1																												0
card p30			1					19	p30	1																												0
card p31			1					19	p31	1																												0
card p32			1					19	p32	1																												0
card p33			1					19	p33	1																												0
card p34			1					19	p34	1																												0
card p35			1					19	p35	1																												0
card p36			1					19	p36	1																												0
card p37			1					19	p37	1																												0
card p38			1					19	p38	1																												0
card p39			1					19	p39	1																												0
card p40			1					19	p40	1																												0
card p41			1					19	p41	1																												0
card p42			1					19	p42	1																												0
card p43			1					19	p43	1																												0
card p44			1					19	p44	1																												0
card p45			1					19	p45	1																												0
card p46			1					19	p46	1																												0
card p47			1					19	p47	1																												0
card p48			1					19	p48	1																												0
card p49			1					19	p49	1																												0
card p50			1					19	p50	1																												0
card p51			1					19	p51	1																												0
card p52			1					19	p52	1																												0
card p53			1					19	p53	1																												0
card p54			1					19	p54	1																												0
card p55			1					19	p55	1																												0
card p56			1					19	p56	1																												0
card p57			1					19	p57	1																												0
card p58			1					19	p58	1																												0
card p59			1					19	p59	1																												0
card p60			1					19	p60	1																												0
card p61			1					19	p61	1																												0
card p62			1					19	p62	1																												0
card p63			1					29	p63	1																												0
card p64			1					29	p64	1																												0
card p65			1					29	p65	1																												0
card p66			1					19	p66	1																												0
card p67			1					19	p67	1																												0
card p68			1					19	p68	1																												0
card p69			1					19	p69	1																												0
card p70			1					19	p70	1																												0
card p71			1					19	p71	1																												0
socket item groups			1					0	sk1	6	sk2	5	sk3	4	sk4	3	sk5	2	sk6	1																		0
socket item groups (H)			1					19	sk1	6	sk2	5	sk3	4	sk4	3	sk5	2	sk6	1																		0
Act 1 Terrorize Act Consumable	40		1					1500	xa1	5	xa2	3	xa3	2	xa4	2	xa5	1	socket item groups (H)	2												"cond('Difficulty', hell)"			1		40	0
Act 2 Terrorize Act Consumable	41		1					1500	xa1	3	xa2	5	xa3	2	xa4	1	xa5	2	socket item groups (H)	2												"cond('Difficulty', hell)"			1		40	0
Act 3 Terrorize Act Consumable	42		1					1500	xa1	1	xa2	2	xa3	5	xa4	3	xa5	2	socket item groups (H)	2												"cond('Difficulty', hell)"			1		40	0
Act 4 Terrorize Act Consumable	43		1					1500	xa1	2	xa2	1	xa3	2	xa4	5	xa5	3	socket item groups (H)	2												"cond('Difficulty', hell)"			1		40	0
Act 5 Terrorize Act Consumable	44		1					1500	xa1	2	xa2	2	xa3	1	xa4	2	xa5	5	socket item groups (H)	2												"cond('Difficulty', hell)"			1		40	0
All Acts Terrorize Consumable	45		1					1500	xa1	1	xa2	1	xa3	1	xa4	1	xa5	1														"cond('Difficulty', hell)*cond('Desecrated')"			1		40	0
Ancient Statue 1	41	186	1					0	ua1	18	ua2	1	ua3	1																								0
Ancient Statue 2	41	201	1					0	ua2	18	ua1	1	ua3	1																								0
Ancient Statue 3	41	225	1					0	ua3	18	ua2	1	ua4	1																								0
Ancient Statue 4	41	234	1					0	ua4	18	ua3	1	ua5	1																								0
Ancient Statue 5	41	279	1					0	ua5	18	ua4	1	ua3	1																								0
Act 1 Junk			1						Potion 1	8	Misc 0	4	Ammo	4																								0
Act 2 Junk			1						Act 1 Junk	2	Potion 2	8	Misc 0	4	Ammo	4																						0
Act 3 Junk			1						Act 2 Junk	2	Potion 3	8	Misc 1	4	Ammo	4																						0
Act 4 Junk			1						Act 3 Junk	2	Potion 4	8	Misc 1	4	Ammo	4																						0
Act 5 Junk			1						Act 4 Junk	2	Potion 5	8	Misc 2	4	Ammo	4																						0
Act 1 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 2 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 3 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 4 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 5 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 1 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 2 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 3 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 4 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
Act 5 (H) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																						0
convic gem Group			1					6	rg1	1	rg2	1	rg3	1	rg4	1	rg5	1	rg6	1																		0
Skill Facet Charms			1					16	Skill Facet	1	Skill Facet N	1	Skill Facet P	1	Skill Facet S	1	Skill Facet B	1	Skill Facet A	1	Skill Facet D	1	Skill Facet W	1														0
Sunder Charms Pre			1					1649	PreCrafted Cold Rupture	30	PreCrafted Flame Rift	30	PreCrafted Crack of the Heavens	20	PreCrafted Rotting Fissure	12	PreCrafted Bone Break	6	PreCrafted Black Cleft	3												"cond('MonsterTestElite', herald)*(stat('heraldtier'.accr) >3) "	2	2	1			0
Sunder Charms 1			1					23899	Cold Rupture	30	Flame Rift	30	Crack of the Heavens	20	Rotting Fissure	12	Bone Break	6	Black Cleft	3	Sunder Charms Pre	2																0
Sunder Charms			1					2000	randombox	50	balldoll 10	10	dg0	2	Sunder Charms 1	1	convic gem Group	5	snf	1	g04	1																0
Herald Charm 1			1						Act 5 (H) Junk	3	"gld,mul=2048"	2																										0
Herald Charm 2			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 1	2																								0
Herald Charm 3			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 2	5																								0
Herald Charm 4			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 3	7																								0
Herald Charm 5			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 4	12																								0
Herald Charm 6			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 5	22																								0
Herald Charm 7			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 6	45																								0
Herald Charm 8			1						Act 5 (H) Junk	3	"gld,mul=2048"	2	Herald Charm 7	90																								0
Herald Charm 9			1						"gld,mul=2048"	3	Sunder Charms	2	Herald Charm 8	180																								0
Herald Charm 10			1						Sunder Charms	3	Herald Charm 9	360																										0
Act 1 Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Act 1 Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Act 1 Worldstone Shards 1	2																								0
Act 1 Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Act 1 Worldstone Shards 2	5																								0
Act 1 Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Act 1 Worldstone Shards 3	7																								0
Act 1 Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Act 1 Worldstone Shards 4	12																								0
Act 1 Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Act 1 Worldstone Shards 5	22																								0
Act 1 Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Act 1 Worldstone Shards 6	45																								0
Act 1 Worldstone Shards 8			1						Flawless Gem	3	Act 1 Terrorize Act Consumable	2	Act 1 Worldstone Shards 7	90																								0
Act 1 Worldstone Shards 9			1						Act 1 Terrorize Act Consumable	3	Act 1 Terrorize Act Consumable	2	Act 1 Worldstone Shards 8	180																								0
Act 1 Worldstone Shards 10			1						Act 1 Terrorize Act Consumable	3	Act 1 Terrorize Act Consumable	2	Act 1 Worldstone Shards 9	360																								0
Act 1 Worldstone Shards 11			1						Act 1 Terrorize Act Consumable	3	Act 1 Terrorize Act Consumable	2	Act 1 Worldstone Shards 10	720																								0
Act 1 Worldstone Shards 12			1						Act 1 Terrorize Act Consumable	3	Act 1 Terrorize Act Consumable	2	Act 1 Worldstone Shards 11	1066																		cond('Desecrated')==0						0
Act 2 Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Act 2 Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Act 2 Worldstone Shards 1	2																								0
Act 2 Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Act 2 Worldstone Shards 2	5																								0
Act 2 Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Act 2 Worldstone Shards 3	7																								0
Act 2 Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Act 2 Worldstone Shards 4	12																								0
Act 2 Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Act 2 Worldstone Shards 5	22																								0
Act 2 Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Act 2 Worldstone Shards 6	45																								0
Act 2 Worldstone Shards 8			1						Flawless Gem	3	Act 2 Terrorize Act Consumable	2	Act 2 Worldstone Shards 7	90																								0
Act 2 Worldstone Shards 9			1						Act 2 Terrorize Act Consumable	3	Act 2 Terrorize Act Consumable	2	Act 2 Worldstone Shards 8	180																								0
Act 2 Worldstone Shards 10			1						Act 2 Terrorize Act Consumable	3	Act 2 Terrorize Act Consumable	2	Act 2 Worldstone Shards 9	360																								0
Act 2 Worldstone Shards 11			1						Act 2 Terrorize Act Consumable	3	Act 2 Terrorize Act Consumable	2	Act 2 Worldstone Shards 10	720																								0
Act 2 Worldstone Shards 12			1						Act 2 Terrorize Act Consumable	3	Act 2 Terrorize Act Consumable	2	Act 2 Worldstone Shards 11	1066																		cond('Desecrated')==0						0
Act 3 Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Act 3 Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Act 3 Worldstone Shards 1	2																								0
Act 3 Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Act 3 Worldstone Shards 2	5																								0
Act 3 Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Act 3 Worldstone Shards 3	7																								0
Act 3 Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Act 3 Worldstone Shards 4	12																								0
Act 3 Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Act 3 Worldstone Shards 5	22																								0
Act 3 Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Act 3 Worldstone Shards 6	45																								0
Act 3 Worldstone Shards 8			1						Flawless Gem	3	Act 3 Terrorize Act Consumable	2	Act 3 Worldstone Shards 7	90																								0
Act 3 Worldstone Shards 9			1						Act 3 Terrorize Act Consumable	3	Act 3 Terrorize Act Consumable	2	Act 3 Worldstone Shards 8	180																								0
Act 3 Worldstone Shards 10			1						Act 3 Terrorize Act Consumable	3	Act 3 Terrorize Act Consumable	2	Act 3 Worldstone Shards 9	360																								0
Act 3 Worldstone Shards 11			1						Act 3 Terrorize Act Consumable	3	Act 3 Terrorize Act Consumable	2	Act 3 Worldstone Shards 10	720																								0
Act 3 Worldstone Shards 12			1						Act 3 Terrorize Act Consumable	3	Act 3 Terrorize Act Consumable	2	Act 3 Worldstone Shards 11	1066																		cond('Desecrated')==0						0
Act 4 Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Act 4 Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Act 4 Worldstone Shards 1	2																								0
Act 4 Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Act 4 Worldstone Shards 2	5																								0
Act 4 Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Act 4 Worldstone Shards 3	7																								0
Act 4 Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Act 4 Worldstone Shards 4	12																								0
Act 4 Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Act 4 Worldstone Shards 5	22																								0
Act 4 Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Act 4 Worldstone Shards 6	45																								0
Act 4 Worldstone Shards 8			1						Flawless Gem	3	Act 4 Terrorize Act Consumable	2	Act 4 Worldstone Shards 7	90																								0
Act 4 Worldstone Shards 9			1						Act 4 Terrorize Act Consumable	3	Act 4 Terrorize Act Consumable	2	Act 4 Worldstone Shards 8	180																								0
Act 4 Worldstone Shards 10			1						Act 4 Terrorize Act Consumable	3	Act 4 Terrorize Act Consumable	2	Act 4 Worldstone Shards 9	360																								0
Act 4 Worldstone Shards 11			1						Act 4 Terrorize Act Consumable	3	Act 4 Terrorize Act Consumable	2	Act 4 Worldstone Shards 10	720																								0
Act 4 Worldstone Shards 12			1						Act 4 Terrorize Act Consumable	3	Act 4 Terrorize Act Consumable	2	Act 4 Worldstone Shards 11	1066																		cond('Desecrated')==0						0
Act 5 Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Act 5 Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Act 5 Worldstone Shards 1	2																								0
Act 5 Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Act 5 Worldstone Shards 2	5																								0
Act 5 Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Act 5 Worldstone Shards 3	7																								0
Act 5 Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Act 5 Worldstone Shards 4	12																								0
Act 5 Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Act 5 Worldstone Shards 5	22																								0
Act 5 Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Act 5 Worldstone Shards 6	45																								0
Act 5 Worldstone Shards 8			1						Flawless Gem	3	Act 5 Terrorize Act Consumable	2	Act 5 Worldstone Shards 7	90																								0
Act 5 Worldstone Shards 9			1						Act 5 Terrorize Act Consumable	3	Act 5 Terrorize Act Consumable	2	Act 5 Worldstone Shards 8	180																								0
Act 5 Worldstone Shards 10			1						Act 5 Terrorize Act Consumable	3	Act 5 Terrorize Act Consumable	2	Act 5 Worldstone Shards 9	360																								0
Act 5 Worldstone Shards 11			1						Act 5 Terrorize Act Consumable	3	Act 5 Terrorize Act Consumable	2	Act 5 Worldstone Shards 10	720																								0
Act 5 Worldstone Shards 12			1						Act 5 Terrorize Act Consumable	3	Act 5 Terrorize Act Consumable	2	Act 5 Worldstone Shards 11	1066																		cond('Desecrated')==0						0
Worldstone Shards 1			1						Chipped Gem	3	Flawed Gem	2																										0
Worldstone Shards 2			1						Chipped Gem	3	Flawed Gem	2	Worldstone Shards 1	2																								0
Worldstone Shards 3			1						Normal Gem	3	Flawless Gem	2	Worldstone Shards 2	5																								0
Worldstone Shards 4			1						Normal Gem	3	Flawless Gem	2	Worldstone Shards 3	7																								0
Worldstone Shards 5			1						Jewelry A	3	Flawless Gem	2	Worldstone Shards 4	12																								0
Worldstone Shards 6			1						Jewelry A	3	Flawless Gem	2	Worldstone Shards 5	22																								0
Worldstone Shards 7			1						Jewelry A	3	Flawless Gem	2	Worldstone Shards 6	45																								0
Worldstone Shards 8			1						Flawless Gem	3	All Acts Terrorize Consumable	2	Worldstone Shards 7	90																								0
Worldstone Shards 9			1						All Acts Terrorize Consumable	3	All Acts Terrorize Consumable	2	Worldstone Shards 8	180																								0
Worldstone Shards 10			1						All Acts Terrorize Consumable	3	All Acts Terrorize Consumable	2	Worldstone Shards 9	360																								0
Worldstone Shards 11			1						All Acts Terrorize Consumable	3	All Acts Terrorize Consumable	2	Worldstone Shards 10	720																								0
Worldstone Shards 12			1						All Acts Terrorize Consumable	3	All Acts Terrorize Consumable	2	Worldstone Shards 11	1066																		cond('Desecrated')						0
Act 1 Worldstone Shard Parent			-1						Act 1 Terrorize Act Consumable	1	All Acts Terrorize Consumable	1																										0
Act 2 Worldstone Shard Parent			-1						Act 2 Terrorize Act Consumable	1	All Acts Terrorize Consumable	1																										0
Act 3 Worldstone Shard Parent			-1						Act 3 Terrorize Act Consumable	1	All Acts Terrorize Consumable	1																										0
Act 4 Worldstone Shard Parent			-1						Act 4 Terrorize Act Consumable	1	All Acts Terrorize Consumable	1																										0
Act 5 Worldstone Shard Parent			-1						Act 5 Terrorize Act Consumable	1	All Acts Terrorize Consumable	1																										0
Act 1 Equip A	1	0	1						weap3	7	armo3	7																										0
Act 1 Equip B	1	15	1						weap3	3	armo3	3	weap6	7	armo6	7																						0
Act 1 Equip C	1	27	1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1														0
Act 2 Equip A	1	36	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545							0
Act 2 Equip B	1	45	1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.625							0
Act 2 Equip C	1	54	1						weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897							0
Act 3 Equip A	1	60	1						weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353							0
Act 3 Equip B	1	66	1						weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475							0
Act 3 Equip C	1	72	1						weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043							0
Act 4 Equip A	1	78	1						weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287							0
Act 4 Equip B	1	87	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398							0
Act 5 Equip A	1	96	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388							0
Act 5 Equip B	1	102	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543							0
Act 5 Equip C	1	108	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597							0
Act 1 (N) Equip A	1	114	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629							0
Act 1 (N) Equip B	1	120	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634							0
Act 1 (N) Equip C	1	126	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659							0
Act 2 (N) Equip A	1	132	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671							0
Act 2 (N) Equip B	1	138	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684							0
Act 2 (N) Equip C	1	144	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691							0
