ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Sword	swor	blde		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	sword	r_mel		
Hammer	hamm	blun	com1	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	maces	r_mel		
Knife	knif	blde		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3	war		0							weap	0	daggs	r_mel		
Spear	spea	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	spear	r_mel		
Polearm	pole	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	poles	r_mel		
Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	xbows	r_mis		
Mace	mace	blun	com1	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	maces	r_mel		
Helm	merc			1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	4	0	3			0							armo	0	helms	r_hel		
Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1		1	0	0	4	25	4	40	6	0	3			0								0	throw			
Quest	ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Body Part	body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Key	key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
Throwing Knife	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	2	40	2	0	3			0							misc	0	throw	r_mel		
Throwing Axe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	6	0	3			0							misc	0	throw	r_mel		
Javelin	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	6	0	3			0							misc	0	javel	r_mel		
Weapon	weap	etem		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0		r_mis	r_mel	
Melee Weapon	mele	com1		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0		r_mel		
Missile Weapon	miss	com1		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mis		
Thrown Weapon	thro	com1		0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mis		
Combo Weapon	comb	mele	thro	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Any Armor	armo	etem		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0		r_arm		
Any Shield	shld	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_off		
Miscellaneous	misc	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Socket Filler	sock	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Second Hand	seco			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_off		
Staves And Rods	rod	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Missile	misl	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0		r_mis		
Blunt	blun	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0		r_mel		
Expansion																																			0				
Jewel	jewl	sock		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			
Class Specific	clas			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Amazon Item	amaz	clas		0	0					0	0	0	0		1	0	0	2	25	3	40	3	0	1		ama	0								0				
Barbarian Item	barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0				
Necromancer Item	necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0				
Paladin Item	pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0		r_off		
Sorceress Item	sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0				
Assassin Item	assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2		ass	0								0				
Druid Item	drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0				
Warlock Item	warl	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1	war	war	0							armo	0				
Hand to Hand	h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2		ass	0							weap	0	assas	r_mel		
Orb	orb	com2	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	6	0	1	sor	sor	0							weap	0	sorce	r_mel		
Voodoo Heads	head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1	nec	nec	0							armo	0	necro	r_arm		
Auric Shields	ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0	palad	r_off		
Primal Helm	phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	4	0	1	bar	bar	0							armo	0	barbh	r_hel		
Pelt	pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	4	0	1	dru	dru	0							armo	0	druid	r_hel		
Cloak	cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0		r_arm		
Rune	rune	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	runes			
Circlet	circ	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	4	0	3			0							armo	0	circl	r_hel		
Healing Potion	hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Mana Potion	mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Rejuv Potion	rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Stamina Potion	spot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Antidote Potion	apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Thawing Potion	wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Small Charm	scha	char		0	0					0	0	0	0		1	0	0	1	25	1	40	1	0	3			6	invch1	invch4	invch7	invch10	invch13	invch16	misc	0	charm			
Medium Charm	mcha	char		0	0					0	0	0	0		1	0	0	1	25	2	40	2	0	3			6	invch2	invch5	invch8	invch11	invch14	invch17	misc	0	charm			
Large Charm	lcha	char		0	0					0	0	0	0		1	0	0	2	25	2	40	3	0	3			6	invch3	invch6	invch9	invch12	invch15	invch18	misc	0	charm			
Amazon Bow	abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	5	1	1		ama	0							weap	0	amazo	r_mis		
Amazon Spear	aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0	amazo	r_mel		
Amazon Javelin	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	6	0	1		ama	0							misc	0	amazo	r_mel		
Hand to Hand 2	h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	6	0	2	ass	ass	0							weap	0	assas	r_mel		
Magic Bow Quiv	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0		1	0	0	1	25	2	40	3	0	3			0							misc	0				
Magic Xbow Quiv	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0		1	0	0	1	25	2	40	3	0	3			0							misc	0				
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Perfect Gem	gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Amethyst	gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Diamond	gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Emerald	geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Ruby	gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Sapphire	gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Topaz	gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Skull	gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Swords and Knives	blde	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Spears and Polearms	sppl	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Grimoire	grim	shld	warl	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	4	0	1	war	war	0							armo	0	warlo			
Colossal Jewel	cjwl	jewl		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0	jewel			1
Crafted Sunder Charm	csch	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0				
Merc Equip	helm	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	4	0	3			0							armo	0	helms	r_hel		
cube	cube	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0				
Elixir exp	expt	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0	warlo			
RuneX	runx	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0	runes			
gbag	gbag	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	0			0							misc	0	scrlt			
TransX	trnx	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0	absol			
Combo Weapon1	com1	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Combo Weapon1	com2	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0				
Combo acc	com3	misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	0			0								0				
Dolls Box	dolb	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3			0							misc	0				
Dolls	dols	dola	gcha	0	0					0	0	0	0		1	0	0	6	0	6	0	6	0	3			0								0				
Dolls Book	dolk	dola	misc	0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Gem Bag	bag1	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Gem Extractor	bagx	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
random doll	rdol	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Dex	pokd	mcha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3			0							misc	0				
Poke Ball	pokb	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Poke Mon M	pokm	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Mon S	poks	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Mon H	pokh	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Mon T	pokt	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Mon U	poku	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Poke Mon L	pokl	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Ultimate	ulta	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		ama	0							misc	0				
Stat Booster	stup	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
OverwatchDolls	odol	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Ultimate	ults	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		sor	0							misc	0				
Ultimate	ultn	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		nec	0							misc	0				
Ultimate	ultp	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		pal	0							misc	0				
Ultimate	ultb	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		bar	0							misc	0				
Ultimate	ultd	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		dru	0							misc	0				
Ultimate	ulti	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		ass	0							misc	0				
Sword one	swo1	swor		1	1	rarm	larm			0	0	0	0			0	0	3	25	4	40	6	0	3			0							weap	0				
Sword two	swo2	swor		1	1	rarm	larm			0	0	0	0			0	0	3	25	4	40	6	0	3			0							weap	0				
Axe one	axe1	axe		1	1	rarm	larm			0	0	0	0			0	0	4	25	5	40	6	0	3			0							weap	0				
Axe two	axe2	axe		1	1	rarm	larm			0	0	0	0			0	0	4	25	5	40	6	0	3			0							weap	0				
conviction gem	cvgm	trnx		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
QuestEssence	essq	ques		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0				
Seungwoo Hair	ahai	helm		1	1	head	head			0	0	0	0			1	0	1	25	3	40	4	0	3		ass	0							armo	0				
Great Charm	gcha	lcha		0	0					0	0	0	0		1	0	0	2	25	3	40	4	0	3			6	invgcha1	invgcha2	invgcha3	invgcha4	invgcha5	invgcha6	misc	0	charm			
RuneH	runh	rune	misc	0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
rbox	rbox	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	0			0								0				
HireJewel	jewh	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0							misc	0				
Poke fire All	pkfa	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke cold All	pkca	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke lightning All	pkla	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke poision All	pkpa	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke magic All	pkma	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke phy All	pkha	pokm		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke fire1	pkf1	pkfa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke fire2	pkf2	pkfa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke fire3	pkf3	pkfa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke cold1	pkc1	pkca		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke cold2	pkc2	pkca		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke cold3	pkc3	pkca		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke lightning1	pkl1	pkla		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke lightning2	pkl2	pkla		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke lightning3	pkl3	pkla		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke poision1	pkp1	pkpa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke poision2	pkp2	pkpa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke poision3	pkp3	pkpa		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke magic1	pkm1	pkma		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke magic2	pkm2	pkma		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke magic3	pkm3	pkma		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke phy1	pkh1	pkha		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke phy2	pkh2	pkha		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Poke phy3	pkh3	pkha		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0								0				
Merc Armo	mec1	armo		1	1					0	0	0	0			1	0	4	25	4	40	4	0	3			0							armo	0				
Pet Card	card	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Pet Charms	pcha	char		0	0					0	0	0	0		1	0	0	1	25	2	40	2	0	3			3	invch2	invch5	invch8				misc	0				
legend wand	lwd	com2	necr	1	1	rarm	larm			0	0	0	0		1	0	0	6	25	6	40	6	0	1	nec	nec	0							weap	0				
legend staff	lob	com2	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	6	25	6	40	6	0	1	sor	sor	0							weap	0				
Boss stone Group1	bps1	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Boss stone Group2	bps2	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Boss stone Group3	bps3	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Boss stone Group4	bps4	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
Boss stone Group5	bps5	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
conviction gem 10	cvgg	trnx		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Ultimate random	ultr	misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3			0								0				
All Dolls	dola	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Soul Shields	sshd	shld	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		sor	0							armo	0				
Dru Knuckles	dnkl	weap	drui	1	1	rarm	larm			0	0	0	0		1	0	0	6	25	6	40	6	0	3	dru	dru	0							weap	0				
Pala Helm	phlp	helm	pala	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	4	0	1	pal	pal	0							armo	0				
RuneU	runu	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Runec	runc	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Any weapon armor	etem	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0				
BugRune	rbug	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Rune2	run2	run3	misc	0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Rune3	run3	run4	misc	0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Rune4	run4	run5	misc	0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Rune5	run5	runx	misc	0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Boss Potal Stone	bsst	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0							misc	0				
Amazon Xbow	abcw	xbow	amaz	0	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	1	1		ama	0							weap	0				
Trans13	13tx	trnx		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Onepieces	dbko	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Naruto	dbkn	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Demonslayer	dbkh	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Bebop	dbkc	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Goddess	dbkm	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Doolys	dbkd	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Dragonball	dbkb	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls hxh	dbkx	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Slamdunk	dbkk	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Bleach	dbka	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Dolls Slayers	dbkz	dola		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Weapon Book	baxe	taxe		1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	6	0	3			0							misc	0				
Soccer Armor	socc	tors		1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0				
Explosive Bow Quiver	bowe	bowq	amaz	1	1	rarm	larm		bow	0	1	1	1			1	0	1	25	2	40	3	0	3		ama	0							misc	0				
Explosive Crossbow Quiver	xboe	xboq	amaz	1	1	rarm	larm		xbow	0	1	1	1			1	0	1	25	2	40	3	0	3		ama	0							misc	0				
Ea misc	eaea	misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3			0								0				
TransX2	trn2	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3			0							misc	0				
Ultimate	ultw	scha		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		war	0							misc	0				
